,,SN neutrino arrival delay [s] 2022-06-14 20:00:00.100
NSV 3503,PandaX-4T,0.03203293226769037
NSV 3503,JUNO,0.033894102944532656
NSV 3503,Baksan,0.038663761453481243
NSV 3503,SK,0.0402403538929687
NSV 3503,HK,0.04024053421375068
NSV 3503,KL,0.040241700853700026
NSV 3503,KM3,0.04578354175590245
NSV 3503,LVD,0.046197753995846975
NSV 3503,DS-20K,0.046197753995846975
NSV 3503,Borexino,0.046197753995846975
NSV 3503,XENONnT,0.046197753995846975
NSV 3503,NOvA,0.06222004176125255
NSV 3503,HALO-1kT,0.06251210738554361
NSV 3503,SNOP,0.06251210738554361
NSV 3503,IC,0.06360866008057484
NSV 3503,SBND,0.0640334769060025
NSV 3503,DUNE,0.0640334769060025
NSV 3503,LZ,0.0640334769060025
NSV 3503,MicroBooNe,0.0640334769060025
NSV 319,IC,0.030790517633325444
NSV 319,KM3,0.055693416961864146
NSV 319,DS-20K,0.05740400885284965
NSV 319,LVD,0.05740400885284965
NSV 319,Borexino,0.05740400885284965
NSV 319,XENONnT,0.05740400885284965
NSV 319,Baksan,0.05950263467953219
NSV 319,SBND,0.06153473146211001
NSV 319,DUNE,0.06153473146211001
NSV 319,LZ,0.06153473146211001
NSV 319,MicroBooNe,0.06153473146211001
NSV 319,HALO-1kT,0.061829730230493665
NSV 319,SNOP,0.061829730230493665
NSV 319,JUNO,0.06236496157750825
NSV 319,PandaX-4T,0.06241635480535742
NSV 319,NOvA,0.0632187526421432
NSV 319,HK,0.06669801662581881
NSV 319,KL,0.066706526066252
NSV 319,SK,0.06670665827683518
HD 11092,IC,0.06109421096723792
HD 11092,KM3,0.08639582207559705
HD 11092,DS-20K,0.08834996727586739
HD 11092,LVD,0.08834996727586739
HD 11092,Borexino,0.08834996727586739
HD 11092,XENONnT,0.08834996727586739
HD 11092,Baksan,0.08977306653898307
HD 11092,JUNO,0.09133215310333674
HD 11092,PandaX-4T,0.09155419774524681
HD 11092,SBND,0.09431124644706157
HD 11092,DUNE,0.09431124644706157
HD 11092,LZ,0.09431124644706157
HD 11092,MicroBooNe,0.09431124644706157
HD 11092,HALO-1kT,0.09458306299736713
HD 11092,SNOP,0.09458306299736713
HD 11092,NOvA,0.09597061070543564
HD 11092,HK,0.09685753355935328
HD 11092,KL,0.09686906261954781
HD 11092,SK,0.09686922596061584
BD+63 2073,IC,0.05925950703827316
BD+63 2073,KM3,0.08577725748381589
BD+63 2073,DS-20K,0.0874524943370233
BD+63 2073,LVD,0.0874524943370233
BD+63 2073,Borexino,0.0874524943370233
BD+63 2073,XENONnT,0.0874524943370233
BD+63 2073,SBND,0.08939288995271732
BD+63 2073,DUNE,0.08939288995271732
BD+63 2073,LZ,0.08939288995271732
BD+63 2073,MicroBooNe,0.08939288995271732
BD+63 2073,HALO-1kT,0.08996423476840817
BD+63 2073,SNOP,0.08996423476840817
BD+63 2073,Baksan,0.09004446128811877
BD+63 2073,NOvA,0.09138253445239454
BD+63 2073,JUNO,0.09254963842333633
BD+63 2073,PandaX-4T,0.09287035107281336
